n,n_dropped,n_zero,median_diff,hl_estimate,ci_low,ci_high,wilcoxon_stat,p_value,family,held_out,split,metric,arm_a,arm_b,comparison,p_holm,family_size
106,0,0,-0.000634042546090785,-0.0006397937337024318,-0.0013522248315956942,5.345036285370197e-05,2257.0,0.06824765303808145,pretraining,jsrt,id_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,0.06824765303808145,6
106,0,0,6.28722170505358e-05,9.965596710737046e-05,-0.0003761553442669374,0.0005743992925751895,2710.0,0.6924280677392236,capacity,jsrt,id_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,1.0,12
106,0,0,-0.0004600924526584893,-0.0005044279387615425,-0.001173743597483734,0.00015862561812579612,2360.0,0.13394537599604253,capacity,jsrt,id_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,0.6807755340202332,12
247,0,0,0.0006469000505291422,0.0008574795554563419,0.0003434002004135128,0.0014049830210680625,11623.0,0.0010242842637940832,pretraining,jsrt,ood_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,0.0030728527913822497,6
247,0,0,0.00041821252254758967,0.0003167285651639318,-0.00012687885814660627,0.0007419829500037167,13706.0,0.15254816716323671,capacity,jsrt,ood_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,0.6807755340202332,12
247,0,0,0.0012808124959263756,0.0012177144348858304,0.000665659467516011,0.001758984759910709,10731.0,4.5550852214223584e-05,capacity,jsrt,ood_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,0.0004099576699280122,12
122,0,0,-0.0003764480204249132,-0.0006702033414487385,-0.0011929832249569228,-0.00014775500867353353,2773.0,0.012417125315414375,pretraining,montgomery,id_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,0.02483425063082875,6
122,0,0,-0.00010926332943389516,1.9236631257579795e-05,-0.0003593645568225057,0.0004031994091082125,3700.0,0.8953147191076354,capacity,montgomery,id_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,1.0,12
122,0,0,-0.0002840464982828972,-0.0004620583084302132,-0.0011126618555374335,0.0001163484641068524,3132.0,0.1134625890033722,capacity,montgomery,id_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,0.6807755340202332,12
138,0,0,0.0010336893212417042,0.0013622003829912854,0.0006143423474904153,0.002212377411707378,3063.0,0.00023134789805075794,pretraining,montgomery,ood_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,0.0009253915922030317,6
138,0,0,0.0004001532757120785,0.00024653042480810017,-0.0002633593676943935,0.0007527369685051966,4366.0,0.36134074006169103,capacity,montgomery,ood_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,1.0,12
138,0,0,0.0008351235628092923,0.0012943921595638952,0.0006174033556128888,0.0021690885078270994,3042.0,0.0001940022835703064,capacity,montgomery,ood_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,0.0015520182685624512,12
58,0,0,0.0013974699826371784,0.0016908864002387891,0.0009333660339969074,0.002628330567552406,304.0,1.955563180159548e-05,pretraining,shenzhen,id_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,9.77781590079774e-05,6
58,0,0,0.002386377554331187,0.002540729114578588,0.0017174694347188435,0.0034116572763622788,230.0,1.2799721320688375e-06,capacity,shenzhen,id_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,1.2799721320688374e-05,12
58,0,0,0.00379876130673773,0.004803140993877408,0.003689383332784013,0.006196267468612071,13.0,6.894788180655187e-11,capacity,shenzhen,id_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,7.584266998720705e-10,12
566,0,0,0.005162854937735384,0.007613896611529836,0.0062851824545850365,0.009136482773817567,25786.0,1.8542380105895933e-44,pretraining,shenzhen,ood_test,dice,unet_resnet34_scratch,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet_resnet34_scratch,1.112542806353756e-43,6
566,0,0,-0.0004906200253738668,-0.0014499898206303818,-0.0027386347365372377,-0.00028066281561950346,70708.0,0.014425827676837682,capacity,shenzhen,ood_test,dice,unet,unet_resnet34_scratch,unet_resnet34_scratch minus unet,0.10098079373786377,12
566,0,0,0.005868620832725546,0.006670161992690105,0.005830996393965615,0.0075483078821943494,26137.0,6.561256566153062e-44,capacity,shenzhen,ood_test,dice,unet,unet_resnet34_imagenet,unet_resnet34_imagenet minus unet,7.873507879383673e-43,12
