arm,held_out,split,postprocessed,model,dice_mean,dice_std,iou_mean,hd95_mean,hd95_std,assd_mean,n,hd95_n,n_empty
unet,jsrt,id_test,False,unet,0.9644806730284373,0.026875563225086323,0.9326020609492915,12.244629827291442,14.988218940363675,2.795069184079163,106,106,0
unet,jsrt,id_test,True,unet,0.9645878323614367,0.026825219603532634,0.9327974823261319,11.88355709883719,14.894538327772782,2.7484238825334577,106,106,0
unet,jsrt,ood_test,False,unet,0.9663620760249313,0.010556783938461921,0.9351107922551086,11.539434528071382,10.456561295478073,2.778307501388354,247,247,0
unet,jsrt,ood_test,True,unet,0.9664224836066704,0.010475474550687326,0.9352209650692462,11.437558088883737,10.002126084963093,2.762799513859207,247,247,0
unet,montgomery,id_test,False,unet,0.965236035290588,0.030112904337735835,0.9342971336983371,13.481804472604269,21.262146504371387,2.785081352059424,122,122,0
unet,montgomery,id_test,True,unet,0.9654182150965461,0.03014679709586421,0.934640397800389,11.459753924614784,15.518298450539328,2.651218462527446,122,122,0
unet,montgomery,ood_test,False,unet,0.9650570724444992,0.02514575997874633,0.9335268496589089,14.365474945520294,18.999775374122336,2.898237542540002,138,138,0
unet,montgomery,ood_test,True,unet,0.9661640850447174,0.023296896477580348,0.935455219871779,11.19804435220197,14.13450470323812,2.644470535151619,138,138,0
unet,shenzhen,id_test,False,unet,0.9758029970738409,0.010377127813712816,0.9529412316554385,8.069963867008571,10.977528168125415,1.9241455395106657,58,58,0
unet,shenzhen,id_test,True,unet,0.9760092033305046,0.009569233734929156,0.9533066452964389,7.0596759620165335,5.21755819949827,1.8539194282026588,58,58,0
unet,shenzhen,ood_test,False,unet,0.9391092068832538,0.045032633273988674,0.8881100397941487,38.74269415885377,42.25780281725084,6.405533205201742,566,566,0
unet,shenzhen,ood_test,True,unet,0.9438532591469329,0.0417752374810676,0.8961125727535886,20.409333784412272,19.63161475134804,4.459300021634745,566,566,0
unet_resnet34_imagenet,jsrt,id_test,False,unet_resnet34,0.9637701223346868,0.026667984943808343,0.9312667908954954,12.438780953112552,15.688777862927125,2.8375385078703252,106,106,0
unet_resnet34_imagenet,jsrt,id_test,True,unet_resnet34,0.96399955923019,0.0265240404508617,0.9316816808973711,11.90562325420992,15.36358565180171,2.796944282561687,106,106,0
unet_resnet34_imagenet,jsrt,ood_test,False,unet_resnet34,0.9672466455708569,0.011884293077243197,0.9368194839964411,10.67631189110621,11.889688668704698,2.7111506268527656,247,247,0
unet_resnet34_imagenet,jsrt,ood_test,True,unet_resnet34,0.9672752440013862,0.012082878445483837,0.9368812168743057,11.392938652622,15.082584246131127,2.767663787963845,247,247,0
unet_resnet34_imagenet,montgomery,id_test,False,unet_resnet34,0.9640882355741616,0.0315902890696767,0.9322869523205523,12.87136802912025,19.48426454607581,2.8270618357802473,122,122,0
unet_resnet34_imagenet,montgomery,id_test,True,unet_resnet34,0.9645311123208888,0.030854051454331916,0.9330411273008012,11.594620705199889,15.35051968493006,2.7325127930778756,122,122,0
unet_resnet34_imagenet,montgomery,ood_test,False,unet_resnet34,0.9683291944973705,0.02046621557069739,0.9393153781255489,10.290243272664428,15.763837990899333,2.514650884912668,138,138,0
unet_resnet34_imagenet,montgomery,ood_test,True,unet_resnet34,0.9687033232945959,0.019141155000050418,0.9399330517035422,9.692586283412988,12.84743517386296,2.4592894683688544,138,138,0
